time,inpc
01-Jan-16,89.38638139
01-Feb-16,89.77778112
01-Mar-16,89.9100006
01-Apr-16,89.62527796
01-May-16,89.22561452
01-Jun-16,89.32402789
01-Jul-16,89.55691448
01-Aug-16,89.80933349
01-Sep-16,90.35774385
01-Oct-16,90.90615422
01-Nov-16,91.61683394
01-Dec-16,92.0390348
01-Jan-17,93.60388244
01-Feb-17,94.14478034
01-Mar-17,94.72248933
01-Apr-17,94.83893263
01-May-17,94.72549432
01-Jun-17,94.96363964
01-Jul-17,95.32273574
01-Aug-17,95.79376765
01-Sep-17,96.09351524
01-Oct-17,96.69826913
01-Nov-17,97.69517399
01-Dec-17,98.27288299
01-Jan-18,98.7949997
01-Feb-18,99.17137448
01-Mar-18,99.49215698
01-Apr-18,99.15484705
01-May-18,98.99408017
01-Jun-18,99.37646493
01-Jul-18,99.9090991
01-Aug-18,100.492
01-Sep-18,100.917
01-Oct-18,101.44
01-Nov-18,102.303
01-Dec-18,103.02
01-Jan-19,103.108
01-Feb-19,103.079
01-Mar-19,103.476
01-Apr-19,103.531
01-May-19,103.233
01-Jun-19,103.299
01-Jul-19,103.687
01-Aug-19,103.67
01-Sep-19,103.942
01-Oct-19,104.503
01-Nov-19,105.346
01-Dec-19,105.934
01-Jan-20,106.447
01-Feb-20,106.889
01-Mar-20,106.838
01-Apr-20,105.755
01-May-20,106.162
01-Jun-20,106.743
01-Jul-20,107.444
01-Aug-20,107.867
01-Sep-20,108.114
01-Oct-20,108.774
01-Nov-20,108.856
01-Dec-20,109.271
01-Jan-21,110.21
01-Feb-21,110.907
01-Mar-21,111.824
01-Apr-21,112.19
01-May-21,112.419
01-Jun-21,113.018
01-Jul-21,113.682
01-Aug-21,113.899
01-Sep-21,114.601
01-Oct-21,115.561
01-Nov-21,116.884
01-Dec-21,117.308
01-Jan-22,118.002
01-Feb-22,118.981
01-Mar-22,120.159
01-Apr-22,120.809
01-May-22,121.022
01-Jun-22,122.044
01-Jul-22,122.948
01-Aug-22,123.803
01-Sep-22,124.571
01-Oct-22,125.276
01-Nov-22,125.997
01-Dec-22,126.478
